@relation 'refined_final_refactor-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,21'

@attribute anon numeric
@attribute file numeric
@attribute kernel numeric
@attribute kernel_stack numeric
@attribute pagetables numeric
@attribute percpu numeric
@attribute sock numeric
@attribute vmalloc numeric
@attribute shmem numeric
@attribute file_mapped numeric
@attribute file_dirty numeric
@attribute file_writeback numeric
@attribute swapcached numeric
@attribute inactive_anon numeric
@attribute active_anon numeric
@attribute inactive_file numeric
@attribute active_file numeric
@attribute slab numeric
@attribute memory.swap.current numeric
@attribute memory.current numeric
@attribute usage_usec_delta numeric
@attribute user_usec_delta numeric
@attribute system_usec_delta numeric
@attribute nr_throttled/sec numeric
@attribute throttled_usec/sec numeric
@attribute rbytes/sec numeric
@attribute wbytes/sec numeric
@attribute rios/sec numeric
@attribute wios/sec numeric
@attribute workingset_refault_anon/sec numeric
@attribute workingset_refault_file/sec numeric
@attribute workingset_activate_anon/sec numeric
@attribute workingset_activate_file/sec numeric
@attribute workingset_restore_anon/sec numeric
@attribute workingset_restore_file/sec numeric
@attribute pgscan/sec numeric
@attribute pgsteal/sec numeric
@attribute pgscan_kswapd/sec numeric
@attribute pgscan_direct/sec numeric
@attribute pgsteal_kswapd/sec numeric
@attribute pgsteal_direct/sec numeric
@attribute pgfault/sec numeric
@attribute pgmajfault/sec numeric
@attribute pgrefill/sec numeric
@attribute pgactivate/sec numeric
@attribute rx_bytes/sec numeric
@attribute tx_packets/sec numeric
@attribute rx_packets/sec numeric
@attribute tx_bytes/sec numeric
@attribute slab_reclaimable_ratio numeric
@attribute slab_unreclaimable_ratio numeric
@attribute status {0,1,2,3}

@data
21966848,1885663232,57212928,7192576,6643712,6040,179728384,8192,196608,524873728,0,0,946176,5455872,17534976,99295232,1786007552,42935720,6901760,2145878016,3604589,50762,3553827,0.28,2820.02,321595956.71,30680.89,2598.91,7.49,32.46,78491.06,0.55,2165.3,0.55,2165.3,84180.75,83948.54,0,84180.75,0,83948.54,9402.46,156.47,8680.32,338.18,461621768.81,8007.02,8513.87,532771.14,0.86,0.14,0
19337216,2057076736,54771712,7094272,4820992,6040,13672448,8192,196608,61898752,0,0,4616192,9883648,9891840,1141637120,915226624,42412056,10670080,2144370688,3802690,69664,3733026,0.26,55845.73,719735454.64,369456.36,5971.56,90.2,92.3,175624.36,13.94,7201.22,13.94,7200.96,170273.15,169173.66,0,170273.15,0,169173.66,19926.16,382.1,7834.72,1057.41,920383971.87,15310.21,15939.51,1014889.46,0.87,0.13,0
17731584,1984585728,53776384,6209536,5197824,5720,89325568,8192,184320,287956992,36864,49152,733184,14188544,1564672,1617604608,366682112,41972080,6803456,2146177024,2736336,44212,2692125,0,0,504666725.14,127235.84,3997.32,31.06,51.16,123167.99,1.1,9298.93,1.1,9298.93,131880.73,131481.66,0,131880.73,0,131481.66,13590.8,176.15,9968.07,186.38,699673384.41,12649.03,13160.66,851087.73,0.88,0.12,0
16605184,1948184576,51494912,4915200,4939776,5560,129875968,8192,159744,348942336,24576,36864,1015808,6328320,8941568,996741120,951136256,41271080,5582848,2147086336,3046313,72956,2973356,0,0,372894010.56,455811.34,3007.9,111.28,105.05,90929.92,16.41,3761.27,16.41,3761.27,101151.46,100582.24,0,101151.46,0,100582.24,9600.13,198.27,9826.96,405.08,512017825.48,9401.86,9750.48,634832.34,0.9,0.1,0
16297984,1879769088,39538688,6209536,4005888,5720,2707456,8192,196608,2174976,0,0,249856,10117120,6610944,598982656,1280589824,28929368,7585792,1938546688,8523640,196984,8326655,0,0,1047393934.05,320043.55,8703.32,78.14,31.09,198203,7.74,7441.19,7.74,7386.87,254418.65,252838.69,124585.62,129833.03,124075.4,128763.3,26584.53,461.77,13695.09,1455.72,1283566772.88,22004.21,22911.81,1467932.13,0.82,0.18,0
15818752,2077732864,52363264,6209536,4050944,5720,729088,8192,184320,4571136,32768,0,581632,3223552,13033472,1134206976,943304704,41700480,6733824,2147172352,3993944,61837,3932107,0,0,810483007.27,823518.81,6711.41,201.05,96.65,197769.92,19.53,5939.74,19.53,5939.49,192635.9,190061.75,0,192635.9,0,190061.75,21674.57,393.1,13820.17,1798.22,1040968491.3,17271.15,17862.54,1148289.01,0.88,0.12,0
14602240,1954770944,50298880,4489216,4513792,5560,126218240,8192,159744,392933376,0,36864,6303744,6619136,7004160,940400640,1014059008,40939408,12161024,2147225600,2779738,13273,2766465,0,0,425424427.77,32417.44,3419.75,7.91,46.05,103816.98,0.36,1495.1,0.36,1495.1,105667.15,105199.48,0,105667.15,0,105199.48,10093.76,162.96,7109.3,301.11,513287204.05,8954.08,9178.92,599891.43,0.9,0.1,0
14565376,1960865792,43057152,4489216,4673536,5560,128131072,8192,159744,400343040,290816,12288,479232,4214784,10420224,494960640,1465507840,33538544,6934528,2147340288,3282196,30941,3251254,0,0,349705380.18,43678.07,2802.09,10.66,27.42,85341.95,1.22,869.54,1.22,869.54,87435.36,87323.24,0,87435.36,0,87323.24,9557.63,129.49,10453.98,158.74,473989538.1,8132.36,8447.39,544542.13,0.88,0.12,0
14491648,2023616512,40718336,4915200,4038656,5920,67305472,16384,147456,197353472,3641344,20480,589824,3510272,10612736,454696960,1568575488,31373168,6086656,2146488320,3504122,123395,3380727,0,0,683528931.93,3399187.59,5712.99,77.05,190.63,157780.75,7.42,7752.01,7.42,7740.03,169966.4,168905.93,0,169966.4,0,168905.93,17967.13,368.14,12890.53,1008.81,879607245.98,14769.46,15591.92,986921.69,0.87,0.13,0
14209024,1954631680,50638848,4489216,4542464,5560,126218240,8192,159744,386662400,10940416,61440,921600,3387392,8216576,789065728,1165217792,41252216,6754304,2146594816,3104324,45307,3059016,0,0,365119496.55,2665288.8,2998.72,15.46,112.42,89038.39,2.9,2227.54,2.9,2227.54,93612.33,93362.03,0,93612.33,0,93362.03,9046.09,200.37,5102.88,99.22,480701514.4,8414.39,8703.67,565825.28,0.9,0.1,0
14073856,2079633408,51257344,5767168,3776512,5560,0,8192,184320,2445312,0,0,991232,1712128,13242368,93138944,1986310144,41337440,8146944,2145742848,4315511,76347,4239164,0.23,21826.38,802921205.85,963371.43,6626.1,235.2,110.76,195909.13,9.27,7066.83,9.27,7066.83,192965.79,190729.44,0,192965.79,0,190729.44,21195.17,369.6,20090.09,1845.9,1033271090.72,17204.92,17869.96,1145931.04,0.89,0.11,0
13836288,2067533824,50438144,5324800,3686400,5400,14553088,8192,159744,59387904,24576,0,970752,5406720,9084928,297467904,1769697280,41061048,6238208,2147225600,3658069,62874,3595196,0,0,922647466.74,3375945.07,7643.38,103.33,95.68,225158.96,7.11,8529.36,7.11,8529.36,219189.69,217699.83,0,219189.69,0,217699.83,25194.17,441.49,16561.47,1425.62,1210989359.69,20092.29,20959.15,1335258.03,0.89,0.11,0
13615104,1966059520,50229248,4489216,4464640,5560,115417088,8192,159744,366125056,0,0,1073152,2637824,12156928,413855744,1551917056,40917352,7577600,2146967552,3076518,13880,3062638,0,0,334641175.51,21302,2763.19,5.2,117.34,81567.54,0.33,2248.65,0.33,2248.65,85178.11,85015.59,0,85178.11,0,85015.59,9954.76,205.1,5457.79,143.02,514712863.7,8733.57,9376.83,587506.4,0.9,0.1,0
13434880,2059014144,40636416,4898816,3694592,5920,33726464,16384,147456,118771712,5173248,0,274432,4186112,9547776,647151616,1411633152,31652080,7274496,2147045376,4293517,194131,4099386,0.23,142.31,604297606.83,12478273.64,5021.99,153.95,56.13,143753.48,20.96,3638.97,20.96,3625,148436.58,147964.71,0,148436.58,0,147964.71,15945.44,261.56,11239.04,465.82,788607542.49,13222.96,13886.75,882694.3,0.87,0.13,0
12730368,1987289088,42606592,4456448,4472832,5240,103538688,8192,131072,323715072,290816,4096,507904,1687552,11403264,929431552,1057562624,33353776,6791168,2147229696,3267379,73539,3193841,0,0,348173520.12,132882.04,3034.24,32.44,332.07,84681.02,16.53,2449.06,16.53,2449.06,91313.25,90493.63,0,91313.25,0,90493.63,10975.77,368.19,11172.26,412.87,517063205.71,8949.68,9626.37,604466.45,0.89,0.11,0
12427264,2089930752,43995136,5767168,3895296,5560,303104,8192,172032,2396160,12288,0,454656,3272704,9641984,936484864,1153228800,33946800,8499200,2147303424,4262894,81679,4181216,0.94,282957.54,805801144.48,1139567.63,6626.72,264.84,112.36,196614.79,15.25,6622.73,15.25,6622.5,190189.58,189480.67,0,190189.58,0,189480.67,22400.51,357.74,10374.41,734.01,1007744349.26,16747.54,17483.9,1111593.44,0.86,0.14,0
12390400,1970339840,49872896,4456448,4333568,5240,113610752,8192,126976,368345088,0,0,6348800,1601536,11735040,200851456,1769193472,40766624,12726272,2147377152,2922392,83742,2838651,0,0,354697976.18,14015.92,3184.04,3.42,436.97,86148.26,0,2307.7,0,2307.7,95786.94,95069.72,0,95786.94,0,95069.72,10545.13,432.86,17364.88,396.59,545037233.2,9781.71,10290.2,662384.44,0.91,0.09,0
12206080,2081370112,51245056,5767168,3780608,5560,1613824,8192,196608,5632000,0,0,2641920,10395648,2523136,455299072,1625763840,41328360,10276864,2147233792,2435572,45581,2389991,0,0,1084054952.18,1577472.56,8563.49,385.13,144.11,264522.26,6.98,9788.67,6.98,9788.67,263490.05,262455.8,0,263490.05,0,262455.8,28947.61,267.29,19589.65,684.85,1308093784.95,22012.9,23157.19,1470432.41,0.89,0.11,0
11673600,2096271360,37183488,4882432,3162112,5240,45056,8192,196608,6803456,0,0,233472,0,12103680,214233088,1881735168,28815280,7303168,2145792000,2780744,52134,2728610,0,0,1274988161.44,515545.48,10257.33,125.87,43.51,277306.36,0,11357.75,0,11295.18,293139.53,292281.49,130562.18,162577.35,129824.25,162457.24,33106.61,295.96,22420.62,714.56,1556073315.63,26780.96,27579.67,1789481.16,0.86,0.14,0
11378688,2080858112,52371456,6209536,4067328,5720,2084864,8192,196608,6889472,0,0,319488,0,11780096,484966400,1595551744,41709592,10784768,2147319808,3137494,85475,3052019,0.32,14200.19,1046400430.41,2086189.81,8576.91,509.32,149.16,255317.78,15.94,10320.98,15.94,10320.98,242320.78,240686.04,0,242320.78,0,240686.04,27846.43,415.94,10757.95,1367.65,1312439186.18,21800.84,22422.03,1448904.13,0.88,0.12,0
10588160,2009477120,49684480,4440064,3825664,5080,76664832,8192,122880,252682240,19079168,36864,942080,3289088,6565888,1050238976,958926848,41122488,7925760,2146910208,7203036,165407,7037629,0,0,720487518.87,8936889.39,5780.62,116.06,172.43,175729.37,28.74,7647.33,28.74,7647.05,180969.52,180402.54,0,180969.52,0,180402.54,19218.15,250.73,27284.05,369.15,918140123.97,15948.41,16543.72,1068256.08,0.91,0.09,0
10526720,2043326464,40263680,4456448,3620864,5760,51646464,16384,147456,177852416,3104768,9596928,180224,8232960,2592768,238559232,1804480512,31820576,7819264,2146861056,11200835,577018,10623817,0.54,12906.27,452669337.6,23615336.54,3625.71,62.5,28.12,98886.82,3.84,5066.94,3.84,5049.27,116664.16,116521.76,0,116664.16,0,116521.76,11569.32,119.81,14649.8,164.01,583637388.19,9987.56,10462.7,668239.56,0.88,0.12,0
10067968,2009415680,49225728,4440064,3878912,5080,74481664,8192,126976,245395456,0,0,1028096,1343488,9854976,560517120,1448566784,40609160,9097216,2145787904,2798778,38453,2760325,0,0,651826418.53,48295.36,5526.7,11.79,505.22,158636.73,0,5162.97,0,5162.97,166641.66,166079.27,0,166641.66,0,166079.27,19708.96,481.64,19104.05,154.71,919871548.94,15875.5,16895.95,1068753.93,0.91,0.09,0
10031104,2098995200,37060608,4440064,2875392,5080,835584,8192,196608,1683456,0,0,462848,602112,10088448,554803200,1543864320,29448360,7344128,2147483648,2698876,85968,2612908,0,0,1205288577.91,282286.4,9517.67,68.92,32.24,275309.8,1.85,18464.35,1.85,18395.44,294168.76,294019.44,11785.65,282383.11,11785.65,282233.79,32851.45,184.15,36847.19,94.48,1554845620.18,26587.36,27522.57,1776548.83,0.88,0.12,0
8810496,2096865280,39067648,4440064,2936832,5080,2043904,8192,135168,6660096,2342912,0,274432,7921664,1269760,1697386496,399228928,31395696,7770112,2147475456,3502299,100434,3401865,0.29,257.55,845095690.57,6805422.38,7001.69,242.41,106.5,200315.28,33.12,11893.05,33.12,11879.05,205589.53,205021.04,0,205589.53,0,205021.04,22099.48,343.2,14446.51,580.48,1056340057.77,17840.85,18586.08,1191226.96,0.88,0.12,0
7565312,2100973568,37838848,4440064,2867200,5080,0,8192,196608,860160,0,0,118784,1314816,6565888,280264704,1820393472,30236808,9809920,2146504704,2779796,44353,2735443,0,0,1212149864.23,996078.85,9510.05,243.18,24.46,284410.44,11.51,13962.9,11.51,13918.65,296467.44,295996.54,0,296467.44,0,295996.54,31840.11,143.9,20475.6,319.45,1498906375.14,25606.56,26616.7,1711027,0.88,0.12,0
7348224,2096467968,39149568,4440064,2961408,5080,3432448,8192,135168,11448320,24576,0,380928,2551808,5287936,242065408,1854140416,31435352,9232384,2147225600,2662396,63785,2598611,0,0,1173374070.57,1466156.05,9171.44,144.61,8.26,283643,0.75,26592.96,0.75,26579.44,286830.73,286629.04,0,286830.73,0,286629.04,31306.39,151.37,37744.95,180.29,1476376348.97,25314.79,26215.11,1691637.53,0.89,0.11,0
7286784,2098356224,39612416,4440064,2920448,5080,0,8192,135168,901120,8192,0,417792,4980736,2834432,841588736,1256558592,31950560,9293824,2145652736,2794856,51225,2743631,0,0,1209091582.54,8793.3,9460.59,2.15,3.58,293395.8,0,22253.74,0,22253.02,295591.26,295162.97,0,295591.26,0,295162.97,31875.35,155.29,26523.37,188.56,1489149077.45,25586.65,26458.25,1709546.4,0.89,0.11,0
7278592,2098102272,39563264,4440064,2936832,5080,1617920,8192,135168,6082560,4096,0,389120,6090752,1687552,253198336,1844658176,31890088,9302016,2146385920,2630503,81220,2549282,0,0,1182664346.7,0,9231.69,0,3.42,287782.6,0,25043.88,0,25040.08,288874.03,288798.76,0,288874.03,0,288798.76,32026.19,138,59452.13,29.27,1514785948.54,25863.11,26941.24,1728269.46,0.89,0.11,0
7237632,2098810880,39534592,4440064,2936832,5080,1187840,8192,135168,8835072,0,0,393216,1687552,6053888,1897115648,201228288,31853080,9342976,2147233792,2816656,73486,2743170,0,0,1187971983.8,58168.27,9203.82,14.2,0.36,288245.35,0,27210.64,0,27204.6,290122.76,289978.61,0,290122.76,0,289978.61,32095.15,120.71,29375.26,121.07,1517024013.58,26090.87,26913.12,1743200.8,0.89,0.11,0
7229440,2098327552,39477248,4440064,2945024,5080,1105920,8192,135168,6184960,24576,0,397312,1683456,6053888,1389150208,708902912,31783160,9351168,2146963456,2678737,78590,2600148,0,0,1203443133.09,0,9337.61,0,2.24,288674.85,0,22699.5,0,22695.77,294048.28,293899.33,0,294048.28,0,293899.33,32065.86,125.81,29006.21,98.93,1511030614.8,25830.46,26827.94,1726328.12,0.89,0.11,0
7204864,2099208192,39280640,4440064,2928640,5080,729088,8192,135168,4726784,24576,0,397312,1667072,6045696,735682560,1363304448,31604496,9375744,2147463168,2836955,76294,2760661,0,0,1182580303.18,106841.31,9219.39,26.08,12.34,283404.92,0.7,17112.01,0.7,17104.61,288667.25,288479.73,0,288667.25,0,288479.73,31608.19,130.42,30334.64,144.52,1492559658.51,25278.86,26462.18,1689217.49,0.89,0.11,0
